timestamp,log_type,message,stacktrace
642.779,Log,End of delay period of trial 22,
643.1956,Log,leftTurn was pressed.,
646.0116,Log,leftTurn was pressed.,
647.6779,Log,leftTurn was pressed.,
651.5269,Log,leftTurn was pressed.,
652.6766,Log,rightTurn was pressed.,
669.6057,Log,rightTurn was pressed.,
669.9057,Log,forwardKey was pressed.,
670.8054,Log,forwardKey was pressed.,
671.3053,Log,leftTurn was pressed.,
673.4715,Log,leftTurn was pressed.,
674.2213,Log,Confirm button pressed: trial22,
674.9544,Log,rightTurn was pressed.,
680.703,Log,rightTurn was pressed.,
681.1362,Log,forwardKey was pressed.,
682.0527,Log,forwardKey was pressed.,
682.436,Log,leftTurn was pressed.,
682.7192,Log,leftTurn was pressed.,
683.1024,Log,forwardKey was pressed.,
686.1517,Log,forwardKey was pressed.,
686.9515,Log,rightTurn was pressed.,
688.8843,Log,rightTurn was pressed.,
689.5175,Log,leftTurn was pressed.,
691.4837,Log,leftTurn was pressed.,
692.1669,Log,leftTurn was pressed.,
692.7334,Log,leftTurn was pressed.,
693.2333,Log,forwardKey was pressed.,
693.46,Log,Object Picked Up!,
693.46,Log,End of trial 22,
693.46,Log,Start of ITI period of trial22,
694.583,Log,End of ITI period of trial22,
694.583,Log,Cue start of trial 23,
696.6324,Log,Cue end of trial 23,
696.6324,Log,Start of delay period of trial 23,
700.6481,Log,End of delay period of trial 23,
701.0814,Log,rightTurn was pressed.,
702.731,Log,rightTurn was pressed.,
703.3975,Log,forwardKey was pressed.,
707.2965,Log,forwardKey was pressed.,
707.7297,Log,leftTurn was pressed.,
709.2627,Log,leftTurn was pressed.,
710.4957,Log,forwardKey was pressed.,
711.6288,Log,forwardKey was pressed.,
711.912,Log,rightTurn was pressed.,
713.2617,Log,rightTurn was pressed.,
713.4783,Log,forwardKey was pressed.,
715.0446,Log,forwardKey was pressed.,
715.3112,Log,leftTurn was pressed.,
716.7108,Log,leftTurn was pressed.,
716.9941,Log,Confirm button pressed: trial23,
718.2105,Log,rightTurn was pressed.,
719.4768,Log,rightTurn was pressed.,
719.9267,Log,forwardKey was pressed.,
722.8427,Log,forwardKey was pressed.,
723.1259,Log,rightTurn was pressed.,
723.6258,Log,rightTurn was pressed.,
723.8424,Log,forwardKey was pressed.,
725.34,Log,Object Picked Up!,
725.34,Log,End of trial 23,
725.34,Log,Start of ITI period of trial23,
726.4251,Log,End of ITI period of trial23,
726.4251,Log,Cue start of trial 24,
728.4746,Log,Cue end of trial 24,
728.4746,Log,Start of delay period of trial 24,
732.5236,Log,End of delay period of trial 24,
733.5067,Log,leftTurn was pressed.,
741.9213,Log,leftTurn was pressed.,
742.3879,Log,leftTurn was pressed.,
748.553,Log,leftTurn was pressed.,
